Unnamed: 0,year,title_cn,fund_project,topic_en,topic_ru,domain_en,domain_ru,field_en,field_ru,subfield_en,subfield_ru
538,2022,“渤海绿色高质发展十年行动计划”建构,中国工程科技发展战略山东研究院重大委托课题（202002SDZD02）,Belt and Road Initiative: S&T Innovation and Sustainable Development,"""Пояс и путь"": научно-технические инновации и устойчивое развитие",Economic & Social Sciences,Гуманитарные науки,Social Sciences,Общественные науки,International Relations,Международные отношения
542,2022,海洋环境安全保障技术发展现状和展望,资助项目:国家重点研发计划项目（2021YFC2803104、2021YFC3101301）,Deep-sea Observation and Exploration,Глубоководные наблюдения и исследования,Natural Sciences,Естественные науки,Earth & Environmental Sciences,Науки о Земле и науки об окружающей среде,Oceanography,Океанология
543,2022,海洋观测探测平台关键材料发展与展望,中国科学院战略性先导科技专项（A类）（XDA22010000）,Deep-sea Observation and Exploration,Глубоководные наблюдения и исследования,Natural Sciences,Естественные науки,Earth & Environmental Sciences,Науки о Земле и науки об окружающей среде,Oceanography,Океанология
544,2022,水下观测和探测装备能源供给技术现状与发展趋势,国家重点研发计划重点专项（2021YFC2800201）,Deep-sea Observation and Exploration,Глубоководные наблюдения и исследования,Natural Sciences,Естественные науки,Earth & Environmental Sciences,Науки о Земле и науки об окружающей среде,Oceanography,Океанология
545,2022,水下观测和探测装备能源供给技术现状与发展趋势,中国科学院战略性先导科技专项（A类）（XDA22010600）修改稿收到日期:2022年6月10日,Deep-sea Observation and Exploration,Глубоководные наблюдения и исследования,Natural Sciences,Естественные науки,Earth & Environmental Sciences,Науки о Земле и науки об окружающей среде,Oceanography,Океанология
546,2022,水下机器人应用及展望,中国科学院海洋大科学研究中心重点部署项目（COMS2019Z02）,Deep-sea Observation and Exploration,Глубоководные наблюдения и исследования,Natural Sciences,Естественные науки,Earth & Environmental Sciences,Науки о Земле и науки об окружающей среде,Oceanography,Океанология
546,2022,水下机器人应用及展望,中国科学院海洋大科学研究中心重点部署项目（COMS2019Z02）,Robotics and Intelligent Manufacturing,Робототехника и интеллектуальное производство,Applied Sciences,Прикладные науки,Engineering,Технические науки,Industrial Engineering & Automation,Техника и автоматизация промышленности
547,2022,深海极端环境原位探测技术研究现状与对策,资助项目:国家自然科学基金（92058206、41822604）,Deep-sea Observation and Exploration,Глубоководные наблюдения и исследования,Natural Sciences,Естественные науки,Earth & Environmental Sciences,Науки о Земле и науки об окружающей среде,Oceanography,Океанология
548,2022,深海极端环境原位探测技术研究现状与对策,中国科学院战略性先导科技专项（A类）（XDA22050102、XDA19060402）,Deep-sea Observation and Exploration,Глубоководные наблюдения и исследования,Natural Sciences,Естественные науки,Earth & Environmental Sciences,Науки о Земле и науки об окружающей среде,Oceanography,Океанология
549,2022,制造业开放创新趋势、问题和政策建议,中国科学院战略研究与决策支持系统建设专项（GHJ-ZLZX-2021-16）,Open Science and S&T Innovation Policy Research,Открытая наука и исследования политики в области научно-технических инноваций,Economic & Social Sciences,Гуманитарные науки,Social Sciences,Общественные науки,Science Studies,Исследования науки
550,2022,制造业开放创新趋势、问题和政策建议,国家自然科学基金面上项目（72074204、71672185）,Open Science and S&T Innovation Policy Research,Открытая наука и исследования политики в области научно-технических инноваций,Economic & Social Sciences,Гуманитарные науки,Social Sciences,Общественные науки,Science Studies,Исследования науки
551,2022,制造业开放创新趋势、问题和政策建议,中国科学院特别研究助理资助项目（E2X04316）,Open Science and S&T Innovation Policy Research,Открытая наука и исследования политики в области научно-технических инноваций,Economic & Social Sciences,Гуманитарные науки,Social Sciences,Общественные науки,Science Studies,Исследования науки
552,2022,完善我国农作物种业国家创新体系促进创新链产业链深度融合,资助项目:科学技术部科技创新战略研究专项（ZLY202137）,S&T Innovation and Superpower Strategy,Научно-технические инновации и стратегия сверхдержавы,Applied Sciences,Прикладные науки,Enabling & Strategic Technologies,Прикладные и стратегические технологии,"Strategic, Defence & Security Studies","Стратегия, оборона и безопасность"
552,2022,完善我国农作物种业国家创新体系促进创新链产业链深度融合,资助项目:科学技术部科技创新战略研究专项（ZLY202137）,Current Status and Innovation Systems in Agriculture and Biological Breeding Research,Текущее состояние и инновационные системы в исследованиях сельского хозяйства и биологического разведения,Applied Sciences,Прикладные науки,"Agriculture, Fisheries & Forestry",Сельскохозяйственные и лесохозяйственные науки и рыбный промысел,Agronomy & Agriculture,Сельскохозяйственные науки
553,2022,完善我国农作物种业国家创新体系促进创新链产业链深度融合,国家自然科学基金青年项目（71904185）,S&T Innovation and Superpower Strategy,Научно-технические инновации и стратегия сверхдержавы,Applied Sciences,Прикладные науки,Enabling & Strategic Technologies,Прикладные и стратегические технологии,"Strategic, Defence & Security Studies","Стратегия, оборона и безопасность"
553,2022,完善我国农作物种业国家创新体系促进创新链产业链深度融合,国家自然科学基金青年项目（71904185）,Current Status and Innovation Systems in Agriculture and Biological Breeding Research,Текущее состояние и инновационные системы в исследованиях сельского хозяйства и биологического разведения,Applied Sciences,Прикладные науки,"Agriculture, Fisheries & Forestry",Сельскохозяйственные и лесохозяйственные науки и рыбный промысел,Agronomy & Agriculture,Сельскохозяйственные науки
554,2022,完善我国农作物种业国家创新体系促进创新链产业链深度融合,国家杰出青年科学基金（72025403）,S&T Innovation and Superpower Strategy,Научно-технические инновации и стратегия сверхдержавы,Applied Sciences,Прикладные науки,Enabling & Strategic Technologies,Прикладные и стратегические технологии,"Strategic, Defence & Security Studies","Стратегия, оборона и безопасность"
554,2022,完善我国农作物种业国家创新体系促进创新链产业链深度融合,国家杰出青年科学基金（72025403）,Current Status and Innovation Systems in Agriculture and Biological Breeding Research,Текущее состояние и инновационные системы в исследованиях сельского хозяйства и биологического разведения,Applied Sciences,Прикладные науки,"Agriculture, Fisheries & Forestry",Сельскохозяйственные и лесохозяйственные науки и рыбный промысел,Agronomy & Agriculture,Сельскохозяйственные науки
555,2022,无人机应用发展关键基础设施与低空公共航路网规划,国家自然科学基金项目（41971359）,"Big Science Facilities: Superconductivity, Nuclear Fusion, and High-Energy Physics","Крупные научные объекты: сверхпроводимость, ядерный синтез и физика высоких энергий",Natural Sciences,Естественные науки,Physics & Astronomy,Физика и астрономия,Nuclear & Particle Physics,Ядерная физика и физика элементарных частиц
556,2022,无人机应用发展关键基础设施与低空公共航路网规划,中国科学院重点部署项目（ZDRW-KT-2020-2）,"Big Science Facilities: Superconductivity, Nuclear Fusion, and High-Energy Physics","Крупные научные объекты: сверхпроводимость, ядерный синтез и физика высоких энергий",Natural Sciences,Естественные науки,Physics & Astronomy,Физика и астрономия,Nuclear & Particle Physics,Ядерная физика и физика элементарных частиц
557,2022,中国智库国际化发展策略研究,上海社会科学院创新工程（20210001）,S&T Talent Cultivation,Воспитание научно-технических талантов,Economic & Social Sciences,Гуманитарные науки,Social Sciences,Общественные науки,Education,Образование
558,2022,我国推进“无废城市”建设的进展、问题及对策建议,国家自然科学基金青年科学基金（71904184）,Urbanization,Китае,Applied Sciences,Прикладные науки,Built Environment & Design,Экологическое строительство и дизайн,Urban & Regional Planning,Городское и районное планирование
559,2022,我国推进“无废城市”建设的进展、问题及对策建议,国家重点研发计划（2018YFC1901505）,Urbanization,Китае,Applied Sciences,Прикладные науки,Built Environment & Design,Экологическое строительство и дизайн,Urban & Regional Planning,Городское и районное планирование
560,2022,我国推进“无废城市”建设的进展、问题及对策建议,中国科学院科技战略咨询研究院院长青年基金（E0X3821Q）,Urbanization,Китае,Applied Sciences,Прикладные науки,Built Environment & Design,Экологическое строительство и дизайн,Urban & Regional Planning,Городское и районное планирование
561,2022,中国科学院空间科学战略性先导科技专项实施11年回顾与展望,中国科学院学部重点项目,Space Science Development Strategy,Стратегия развития космических наук,Natural Sciences,Естественные науки,Physics & Astronomy,Физика и астрономия,Astronomy & Astrophysics,Астрономия и астрофизика
562,2022,中国科学院空间科学战略性先导科技专项实施11年回顾与展望,中国科学院战略性先导科技专项（A类）（XDA15060102）,Space Science Development Strategy,Стратегия развития космических наук,Natural Sciences,Естественные науки,Physics & Astronomy,Физика и астрономия,Astronomy & Astrophysics,Астрономия и астрофизика
563,2022,空间科学突破的前瞻和中国的贡献,中国科学院学部重点咨询项目,Space Science Development Strategy,Стратегия развития космических наук,Natural Sciences,Естественные науки,Physics & Astronomy,Физика и астрономия,Astronomy & Astrophysics,Астрономия и астрофизика
564,2022,空间科学突破的前瞻和中国的贡献,中国科学院战略性先导科技专项（A类）（XDA15060102）,Space Science Development Strategy,Стратегия развития космических наук,Natural Sciences,Естественные науки,Physics & Astronomy,Физика и астрономия,Astronomy & Astrophysics,Астрономия и астрофизика
565,2022,空间科学强国指标体系研究及其启示,中国工程院战略研究与咨询重点项目（E1J01A0201）,S&T Innovation and Superpower Strategy,Научно-технические инновации и стратегия сверхдержавы,Applied Sciences,Прикладные науки,Enabling & Strategic Technologies,Прикладные и стратегические технологии,"Strategic, Defence & Security Studies","Стратегия, оборона и безопасность"
565,2022,空间科学强国指标体系研究及其启示,中国工程院战略研究与咨询重点项目（E1J01A0201）,Space Science Development Strategy,Стратегия развития космических наук,Natural Sciences,Естественные науки,Physics & Astronomy,Физика и астрономия,Astronomy & Astrophysics,Астрономия и астрофизика
566,2022,空间科学强国指标体系研究及其启示,中国科学院学部重点项目,S&T Innovation and Superpower Strategy,Научно-технические инновации и стратегия сверхдержавы,Applied Sciences,Прикладные науки,Enabling & Strategic Technologies,Прикладные и стратегические технологии,"Strategic, Defence & Security Studies","Стратегия, оборона и безопасность"
566,2022,空间科学强国指标体系研究及其启示,中国科学院学部重点项目,Space Science Development Strategy,Стратегия развития космических наук,Natural Sciences,Естественные науки,Physics & Astronomy,Физика и астрономия,Astronomy & Astrophysics,Астрономия и астрофизика
567,2022,空间科学强国指标体系研究及其启示,中国科学院战略性先导科技专项（A类）（XDA15060102）,S&T Innovation and Superpower Strategy,Научно-технические инновации и стратегия сверхдержавы,Applied Sciences,Прикладные науки,Enabling & Strategic Technologies,Прикладные и стратегические технологии,"Strategic, Defence & Security Studies","Стратегия, оборона и безопасность"
567,2022,空间科学强国指标体系研究及其启示,中国科学院战略性先导科技专项（A类）（XDA15060102）,Space Science Development Strategy,Стратегия развития космических наук,Natural Sciences,Естественные науки,Physics & Astronomy,Физика и астрономия,Astronomy & Astrophysics,Астрономия и астрофизика
568,2022,“十四五”时期我国粮食生产的发展态势及风险分析,国家社会科学基金重大项目（19ZDA062）,Food Security,Продовольственная безопасность,Applied Sciences,Прикладные науки,"Agriculture, Fisheries & Forestry",Сельскохозяйственные и лесохозяйственные науки и рыбный промысел,Agronomy & Agriculture,Сельскохозяйственные науки
568,2022,“十四五”时期我国粮食生产的发展态势及风险分析,国家社会科学基金重大项目（19ZDA062）,Chinese Strategic Industries and Economic Development,Стратегические отрасли и экономическое развитие Китая,Economic & Social Sciences,Гуманитарные науки,Economics & Business,Экономика и бизнес,Economics,Экономика
569,2022,“十四五”时期我国粮食生产的发展态势及风险分析,国家自然科学基金（72103184、71988101、71974183）,Food Security,Продовольственная безопасность,Applied Sciences,Прикладные науки,"Agriculture, Fisheries & Forestry",Сельскохозяйственные и лесохозяйственные науки и рыбный промысел,Agronomy & Agriculture,Сельскохозяйственные науки
569,2022,“十四五”时期我国粮食生产的发展态势及风险分析,国家自然科学基金（72103184、71988101、71974183）,Chinese Strategic Industries and Economic Development,Стратегические отрасли и экономическое развитие Китая,Economic & Social Sciences,Гуманитарные науки,Economics & Business,Экономика и бизнес,Economics,Экономика
570,2022,在“破”与“立”之间：科技评价的BRIDGE理论,国家自然科学基金面上项目（72174191）,Peer Review and Funding Allocation for Basic Research,Экспертная оценка и распределение финансирования для фундаментальных исследований,Economic & Social Sciences,Гуманитарные науки,Social Sciences,Общественные науки,Science Studies,Исследования науки
571,2022,在“破”与“立”之间：科技评价的BRIDGE理论,国家社会科学基金重大项目（21ZDA016）,Peer Review and Funding Allocation for Basic Research,Экспертная оценка и распределение финансирования для фундаментальных исследований,Economic & Social Sciences,Гуманитарные науки,Social Sciences,Общественные науки,Science Studies,Исследования науки
572,2022,在“破”与“立”之间：科技评价的BRIDGE理论,中国科学院战略研究与决策支持系统建设专项（GHJ-ZLZX-2022-04）,Peer Review and Funding Allocation for Basic Research,Экспертная оценка и распределение финансирования для фундаментальных исследований,Economic & Social Sciences,Гуманитарные науки,Social Sciences,Общественные науки,Science Studies,Исследования науки
573,2022,从空间组织角度看新冠肺炎疫情隔离管控中的问题及对策建议,中国科学院战略性先导科技专项（A类）（XDA19040403）,Public Health Emergency Management,Управление чрезвычайными ситуациями в области общественного здравоохранения,Health Sciences,Науки о здоровье,Public Health & Health Services,Здравоохранение и медицинское обслуживание,Public Health,Здравоохранение
574,2022,英国公共科研机构的历史演进与新变革,中国科学院战略研究专项（GHJ-ZLZX-2021-22-3）,S&T Talent Cultivation,Воспитание научно-технических талантов,Economic & Social Sciences,Гуманитарные науки,Social Sciences,Общественные науки,Education,Образование
574,2022,英国公共科研机构的历史演进与新变革,中国科学院战略研究专项（GHJ-ZLZX-2021-22-3）,S&T Innovation and Superpower Strategy,Научно-технические инновации и стратегия сверхдержавы,Applied Sciences,Прикладные науки,Enabling & Strategic Technologies,Прикладные и стратегические технологии,"Strategic, Defence & Security Studies","Стратегия, оборона и безопасность"
575,2022,变化环境下城市暴雨致灾防御对策与建议,中国科学院学部咨询评议项目（2021-ZW18-A-031）,Disaster Mitigation,Смягчение последствий стихийных бедствий,Applied Sciences,Прикладные науки,Engineering,Технические науки,Environmental Engineering,Инженерная экология
576,2022,实现共同富裕的创新手段：碳转移支付,国家自然科学基金（72088101、71810107001）,Carbon Neutrality Goals,Достижение углеродной нейтральности,Natural Sciences,Естественные науки,Earth & Environmental Sciences,Науки о Земле и науки об окружающей среде,Environmental Sciences,Науки об окружающей среде
577,2022,关于城市生活垃圾处理碳减排的系统研究,国家重点研发计划固废资源化专项（2020YFC1910100）,Carbon Neutrality Goals,Достижение углеродной нейтральности,Natural Sciences,Естественные науки,Earth & Environmental Sciences,Науки о Земле и науки об окружающей среде,Environmental Sciences,Науки об окружающей среде
578,2022,中国科学院野外台站档案管理现状及完善建议,中国科学院档案馆专项课题（2020-B01-02（Z））,CAS Field Observation Station Network,Сеть полевых наблюдательных станций КАН,Natural Sciences,Естественные науки,Earth & Environmental Sciences,Науки о Земле и науки об окружающей среде,Environmental Sciences,Науки об окружающей среде
579,2022,促进科技与金融结合的知识产权策略,北京市自然科学基金面上项目（9212019）,Intellectual Property Protection and Management,Защита и управление интеллектуальной собственностью,Economic & Social Sciences,Гуманитарные науки,Social Sciences,Общественные науки,Law,Право
580,2022,促进科技与金融结合的知识产权策略,中央高校基本科研业务费（E1E42105、E2EG2106）,Intellectual Property Protection and Management,Защита и управление интеллектуальной собственностью,Economic & Social Sciences,Гуманитарные науки,Social Sciences,Общественные науки,Law,Право
581,2022,促进科技与金融结合的知识产权策略,国家自然科学基金青年科学基金项目（72104228）,Intellectual Property Protection and Management,Защита и управление интеллектуальной собственностью,Economic & Social Sciences,Гуманитарные науки,Social Sciences,Общественные науки,Law,Право
582,2022,高水平科技自立自强视野中重大科技项目选题机制研究,国家社会科学基金重点项目（17AKS004）,S&T Talent Cultivation,Воспитание научно-технических талантов,Economic & Social Sciences,Гуманитарные науки,Social Sciences,Общественные науки,Education,Образование
582,2022,高水平科技自立自强视野中重大科技项目选题机制研究,国家社会科学基金重点项目（17AKS004）,S&T Innovation and Superpower Strategy,Научно-технические инновации и стратегия сверхдержавы,Applied Sciences,Прикладные науки,Enabling & Strategic Technologies,Прикладные и стратегические технологии,"Strategic, Defence & Security Studies","Стратегия, оборона и безопасность"
583,2022,重大突发事件对粮食安全风险的影响,国家自然科学基金（71988101、71974183、72103184）,Food Security,Продовольственная безопасность,Applied Sciences,Прикладные науки,"Agriculture, Fisheries & Forestry",Сельскохозяйственные и лесохозяйственные науки и рыбный промысел,Agronomy & Agriculture,Сельскохозяйственные науки
584,2022,重大突发事件对粮食安全风险的影响,国家社会科学基金重大项目（19ZDA062）,Food Security,Продовольственная безопасность,Applied Sciences,Прикладные науки,"Agriculture, Fisheries & Forestry",Сельскохозяйственные и лесохозяйственные науки и рыбный промысел,Agronomy & Agriculture,Сельскохозяйственные науки
585,2022,重大突发事件对粮食安全风险的影响,“一带一路”国际科学组织联盟战略咨询项目（ANSO-SBA-2021-03）,Food Security,Продовольственная безопасность,Applied Sciences,Прикладные науки,"Agriculture, Fisheries & Forestry",Сельскохозяйственные и лесохозяйственные науки и рыбный промысел,Agronomy & Agriculture,Сельскохозяйственные науки
587,2022,创新驱动社会服务数字转型发展的趋势、国内外实践与建议,中国科学院战略研究与决策支持系统建设专项（GHJ-ZLZX-2021-16）,S&T Innovation and Superpower Strategy,Научно-технические инновации и стратегия сверхдержавы,Applied Sciences,Прикладные науки,Enabling & Strategic Technologies,Прикладные и стратегические технологии,"Strategic, Defence & Security Studies","Стратегия, оборона и безопасность"
587,2022,创新驱动社会服务数字转型发展的趋势、国内外实践与建议,中国科学院战略研究与决策支持系统建设专项（GHJ-ZLZX-2021-16）,Digital Technology and Big Data-Driven Scientific Research and Social Development,Научные исследования и социальное развитие на основе цифровых технологий и больших данных,Applied Sciences,Прикладные науки,Information & Communication Technologies,Информационные и коммуникационные технологии,Information Systems,Информационные системы
587,2022,创新驱动社会服务数字转型发展的趋势、国内外实践与建议,中国科学院战略研究与决策支持系统建设专项（GHJ-ZLZX-2021-16）,Social Psychology and its Applications,Социальная психология и ее применения,Health Sciences,Науки о здоровье,Psychology & Cognitive Sciences,Психология и когнитивные науки,Social Psychology,Социальная психология
588,2022,全球主要经济体企业科技创新版图分析及启示——中国企业加强基础研究是建设创新型国家的必然选择,中国亚太经合组织合作基金项目（2017）,S&T Innovation and Superpower Strategy,Научно-технические инновации и стратегия сверхдержавы,Applied Sciences,Прикладные науки,Enabling & Strategic Technologies,Прикладные и стратегические технологии,"Strategic, Defence & Security Studies","Стратегия, оборона и безопасность"
588,2022,全球主要经济体企业科技创新版图分析及启示——中国企业加强基础研究是建设创新型国家的必然选择,中国亚太经合组织合作基金项目（2017）,Intellectual Property Protection and Management,Защита и управление интеллектуальной собственностью,Economic & Social Sciences,Гуманитарные науки,Social Sciences,Общественные науки,Law,Право
589,2022,全球主要经济体企业科技创新版图分析及启示——中国企业加强基础研究是建设创新型国家的必然选择,国家自然科学基金重点国际合作研究项目（71810107004）,S&T Innovation and Superpower Strategy,Научно-технические инновации и стратегия сверхдержавы,Applied Sciences,Прикладные науки,Enabling & Strategic Technologies,Прикладные и стратегические технологии,"Strategic, Defence & Security Studies","Стратегия, оборона и безопасность"
589,2022,全球主要经济体企业科技创新版图分析及启示——中国企业加强基础研究是建设创新型国家的必然选择,国家自然科学基金重点国际合作研究项目（71810107004）,Intellectual Property Protection and Management,Защита и управление интеллектуальной собственностью,Economic & Social Sciences,Гуманитарные науки,Social Sciences,Общественные науки,Law,Право
590,2022,全球主要经济体企业科技创新版图分析及启示——中国企业加强基础研究是建设创新型国家的必然选择,国家社会科学基金重大项目（21ZDA016）,S&T Innovation and Superpower Strategy,Научно-технические инновации и стратегия сверхдержавы,Applied Sciences,Прикладные науки,Enabling & Strategic Technologies,Прикладные и стратегические технологии,"Strategic, Defence & Security Studies","Стратегия, оборона и безопасность"
590,2022,全球主要经济体企业科技创新版图分析及启示——中国企业加强基础研究是建设创新型国家的必然选择,国家社会科学基金重大项目（21ZDA016）,Intellectual Property Protection and Management,Защита и управление интеллектуальной собственностью,Economic & Social Sciences,Гуманитарные науки,Social Sciences,Общественные науки,Law,Право
591,2022,提升我国大豆供给能力路径刍议,国家重点研发计划政府间国际科技创新合作重点专项（2018YFE0116900）,Agricultural Reforms,Сельскохозяйственные реформы,Applied Sciences,Прикладные науки,"Agriculture, Fisheries & Forestry",Сельскохозяйственные и лесохозяйственные науки и рыбный промысел,Agronomy & Agriculture,Сельскохозяйственные науки
591,2022,提升我国大豆供给能力路径刍议,国家重点研发计划政府间国际科技创新合作重点专项（2018YFE0116900）,Food Security,Продовольственная безопасность,Applied Sciences,Прикладные науки,"Agriculture, Fisheries & Forestry",Сельскохозяйственные и лесохозяйственные науки и рыбный промысел,Agronomy & Agriculture,Сельскохозяйственные науки
592,2022,提升我国大豆供给能力路径刍议,中国科学院重点部署项目（ZDRW-ZS-2019-2）“一带一路”国际科学组织联盟项目（ANSO-CR-KP-2020-07）,Agricultural Reforms,Сельскохозяйственные реформы,Applied Sciences,Прикладные науки,"Agriculture, Fisheries & Forestry",Сельскохозяйственные и лесохозяйственные науки и рыбный промысел,Agronomy & Agriculture,Сельскохозяйственные науки
592,2022,提升我国大豆供给能力路径刍议,中国科学院重点部署项目（ZDRW-ZS-2019-2）“一带一路”国际科学组织联盟项目（ANSO-CR-KP-2020-07）,Food Security,Продовольственная безопасность,Applied Sciences,Прикладные науки,"Agriculture, Fisheries & Forestry",Сельскохозяйственные и лесохозяйственные науки и рыбный промысел,Agronomy & Agriculture,Сельскохозяйственные науки
593,2022,如何引进、用好和留住人才?——国家科研机构人才制度建设的国际经验与启示,国家自然科学基金面上项目（71974185）,S&T Talent Cultivation,Воспитание научно-технических талантов,Economic & Social Sciences,Гуманитарные науки,Social Sciences,Общественные науки,Education,Образование
593,2022,如何引进、用好和留住人才?——国家科研机构人才制度建设的国际经验与启示,国家自然科学基金面上项目（71974185）,S&T Innovation and Superpower Strategy,Научно-технические инновации и стратегия сверхдержавы,Applied Sciences,Прикладные науки,Enabling & Strategic Technologies,Прикладные и стратегические технологии,"Strategic, Defence & Security Studies","Стратегия, оборона и безопасность"
594,2022,如何引进、用好和留住人才?——国家科研机构人才制度建设的国际经验与启示,国家社会科学基金重点项目（22AZD025）,S&T Talent Cultivation,Воспитание научно-технических талантов,Economic & Social Sciences,Гуманитарные науки,Social Sciences,Общественные науки,Education,Образование
594,2022,如何引进、用好和留住人才?——国家科研机构人才制度建设的国际经验与启示,国家社会科学基金重点项目（22AZD025）,S&T Innovation and Superpower Strategy,Научно-технические инновации и стратегия сверхдержавы,Applied Sciences,Прикладные науки,Enabling & Strategic Technologies,Прикладные и стратегические технологии,"Strategic, Defence & Security Studies","Стратегия, оборона и безопасность"
595,2022,如何引进、用好和留住人才?——国家科研机构人才制度建设的国际经验与启示,对外经济贸易大学研究生科研创新基金（202251）,S&T Talent Cultivation,Воспитание научно-технических талантов,Economic & Social Sciences,Гуманитарные науки,Social Sciences,Общественные науки,Education,Образование
595,2022,如何引进、用好和留住人才?——国家科研机构人才制度建设的国际经验与启示,对外经济贸易大学研究生科研创新基金（202251）,S&T Innovation and Superpower Strategy,Научно-технические инновации и стратегия сверхдержавы,Applied Sciences,Прикладные науки,Enabling & Strategic Technologies,Прикладные и стратегические технологии,"Strategic, Defence & Security Studies","Стратегия, оборона и безопасность"
596,2022,我国拔尖创新人才的选拔与培养——基于教育实践的多案例循证研究,国家社会科学基金重大项目（21ZDA017）,S&T Talent Cultivation,Воспитание научно-технических талантов,Economic & Social Sciences,Гуманитарные науки,Social Sciences,Общественные науки,Education,Образование
596,2022,我国拔尖创新人才的选拔与培养——基于教育实践的多案例循证研究,国家社会科学基金重大项目（21ZDA017）,Graduate Education and Talent Cultivation,Послевузовское образование и развитие талантов,Economic & Social Sciences,Гуманитарные науки,Social Sciences,Общественные науки,Education,Образование
597,2022,现代海洋牧场建设的人工生态系统理论思考,南方海洋科学与工程广东省实验室（广州）人才团队引进重大专项（GML2019ZD0402）,Water Resources Management and Ecological Protection,Управление водными ресурсами и экологическая защита,Applied Sciences,Прикладные науки,Engineering,Технические науки,Environmental Engineering,Инженерная экология
597,2022,现代海洋牧场建设的人工生态系统理论思考,南方海洋科学与工程广东省实验室（广州）人才团队引进重大专项（GML2019ZD0402）,Deep-sea Observation and Exploration,Глубоководные наблюдения и исследования,Natural Sciences,Естественные науки,Earth & Environmental Sciences,Науки о Земле и науки об окружающей среде,Oceanography,Океанология
598,2022,现代海洋牧场建设的人工生态系统理论思考,中国科学院南海生态环境工程创新研究院课题（ISEE2019ZR0）,Water Resources Management and Ecological Protection,Управление водными ресурсами и экологическая защита,Applied Sciences,Прикладные науки,Engineering,Технические науки,Environmental Engineering,Инженерная экология
598,2022,现代海洋牧场建设的人工生态系统理论思考,中国科学院南海生态环境工程创新研究院课题（ISEE2019ZR0）,Deep-sea Observation and Exploration,Глубоководные наблюдения и исследования,Natural Sciences,Естественные науки,Earth & Environmental Sciences,Науки о Земле и науки об окружающей среде,Oceanography,Океанология
599,2022,现代海洋牧场建设的人工生态系统理论思考,中国科学院战略性先导科技专项（A类）（XDA13020401）,Water Resources Management and Ecological Protection,Управление водными ресурсами и экологическая защита,Applied Sciences,Прикладные науки,Engineering,Технические науки,Environmental Engineering,Инженерная экология
599,2022,现代海洋牧场建设的人工生态系统理论思考,中国科学院战略性先导科技专项（A类）（XDA13020401）,Deep-sea Observation and Exploration,Глубоководные наблюдения и исследования,Natural Sciences,Естественные науки,Earth & Environmental Sciences,Науки о Земле и науки об окружающей среде,Oceanography,Океанология
600,2022,基于专利分析的海洋碳封存技术,国家自然科学基金（41806130）,Deep-sea Observation and Exploration,Глубоководные наблюдения и исследования,Natural Sciences,Естественные науки,Earth & Environmental Sciences,Науки о Земле и науки об окружающей среде,Oceanography,Океанология
600,2022,基于专利分析的海洋碳封存技术,国家自然科学基金（41806130）,Carbon Neutrality Goals,Достижение углеродной нейтральности,Natural Sciences,Естественные науки,Earth & Environmental Sciences,Науки о Земле и науки об окружающей среде,Environmental Sciences,Науки об окружающей среде
601,2022,基于专利分析的海洋碳封存技术,广东省自然科学基金（2018A0303130063）,Deep-sea Observation and Exploration,Глубоководные наблюдения и исследования,Natural Sciences,Естественные науки,Earth & Environmental Sciences,Науки о Земле и науки об окружающей среде,Oceanography,Океанология
601,2022,基于专利分析的海洋碳封存技术,广东省自然科学基金（2018A0303130063）,Carbon Neutrality Goals,Достижение углеродной нейтральности,Natural Sciences,Естественные науки,Earth & Environmental Sciences,Науки о Земле и науки об окружающей среде,Environmental Sciences,Науки об окружающей среде
602,2022,基于专利分析的海洋碳封存技术,南方海洋科学与工程广东省实验室（广州）人才团队引进重大专项（GML2019ZD0209）,Deep-sea Observation and Exploration,Глубоководные наблюдения и исследования,Natural Sciences,Естественные науки,Earth & Environmental Sciences,Науки о Земле и науки об окружающей среде,Oceanography,Океанология
602,2022,基于专利分析的海洋碳封存技术,南方海洋科学与工程广东省实验室（广州）人才团队引进重大专项（GML2019ZD0209）,Carbon Neutrality Goals,Достижение углеродной нейтральности,Natural Sciences,Естественные науки,Earth & Environmental Sciences,Науки о Земле и науки об окружающей среде,Environmental Sciences,Науки об окружающей среде
603,2022,基于专利分析的海洋碳封存技术,中国地质调查局地调项目（DD20211394）,Deep-sea Observation and Exploration,Глубоководные наблюдения и исследования,Natural Sciences,Естественные науки,Earth & Environmental Sciences,Науки о Земле и науки об окружающей среде,Oceanography,Океанология
603,2022,基于专利分析的海洋碳封存技术,中国地质调查局地调项目（DD20211394）,Carbon Neutrality Goals,Достижение углеродной нейтральности,Natural Sciences,Естественные науки,Earth & Environmental Sciences,Науки о Земле и науки об окружающей среде,Environmental Sciences,Науки об окружающей среде
604,2022,数字治理格局研判的理论与方法探索,中国科学院学部咨询评议项目（2021-ZW07-B-014）,Digital Technology and Big Data-Driven Scientific Research and Social Development,Научные исследования и социальное развитие на основе цифровых технологий и больших данных,Applied Sciences,Прикладные науки,Information & Communication Technologies,Информационные и коммуникационные технологии,Information Systems,Информационные системы
605,2022,中美欧内部数字治理格局比较研究,中国科学院学部咨询评议项目（2021-ZW07-B-014）,Digital Technology and Big Data-Driven Scientific Research and Social Development,Научные исследования и социальное развитие на основе цифровых технологий и больших данных,Applied Sciences,Прикладные науки,Information & Communication Technologies,Информационные и коммуникационные технологии,Information Systems,Информационные системы
